0,95.19,0,0,0,0,95.57,0,0,0,0,0,0,0,0,0,0,0
95.19,0,39.77,0,0,0,0,94.28,0,0,0,0,0,0,0,0,0,0
0,39.77,0,67.3,0,0,0,0,97.39,0,0,0,0,0,0,0,0,0
0,0,67.3,0,67.28,0,0,0,0,99.03,0,0,0,0,0,0,0,0
0,0,0,67.28,0,51.82,0,0,0,0,101,0,0,0,0,0,0,0
0,0,0,0,52.81,0,0,0,0,0,0,99.42,0,0,0,0,0,0
95.57,0,0,0,0,0,0,103.55,0,0,0,0,82.61,0,0,0,0,0
0,94.28,0,0,0,0,103.6,0,46.92,0,0,0,0,76.29,0,0,0,0
0,0,97.39,0,0,0,0,46.92,0,64.59,0,0,0,0,77.55,0,0,0
0,0,0,99.03,0,0,0,0,64.59,0,70.53,0,0,0,0,77.65,0,0
0,0,0,0,101,0,0,0,0,70.53,0,44.76,0,0,0,0,78.72,0
0,0,0,0,0,99.42,0,0,0,0,44.76,0,0,0,0,0,0,77.78
0,0,0,0,0,0,82.61,0,0,0,0,0,0,123.89,0,0,0,0
0,0,0,0,0,0,0,76.29,0,0,0,0,123.89,0,41.07,0,0,0
0,0,0,0,0,0,0,0,77.55,0,0,0,0,41.07,0,68,0,0
0,0,0,0,0,0,0,0,0,77.65,0,0,0,0,68,0,69.7,0
0,0,0,0,0,0,0,0,0,0,78.72,0,0,0,0,69.7,0,44.36
0,0,0,0,0,0,0,0,0,0,0,77.78,0,0,0,0,44.36,0